,geography,cause_of_death,gender,age_desc,age_code,measure,time_format,unit,time,obs_value,age_type
184,North East,W54 Bitten or struck by dog,Male,Aged 75-79,17,Deaths,Annual,Persons,2021,0,adult
185,North East,W54 Bitten or struck by dog,Male,Aged 75-79,17,Deaths,Annual,Persons,2022,0,adult
186,North East,W54 Bitten or struck by dog,Male,Aged 75-79,17,Deaths,Annual,Persons,2023,0,adult
187,North East,W54 Bitten or struck by dog,Male,Aged 80-84,18,Deaths,Annual,Persons,2013,0,adult
188,North East,W54 Bitten or struck by dog,Male,Aged 80-84,18,Deaths,Annual,Persons,2014,0,adult
189,North East,W54 Bitten or struck by dog,Male,Aged 80-84,18,Deaths,Annual,Persons,2015,0,adult
190,North East,W54 Bitten or struck by dog,Male,Aged 80-84,18,Deaths,Annual,Persons,2016,0,adult
191,North East,W54 Bitten or struck by dog,Male,Aged 80-84,18,Deaths,Annual,Persons,2017,0,adult
192,North East,W54 Bitten or struck by dog,Male,Aged 80-84,18,Deaths,Annual,Persons,2018,0,adult
193,North East,W54 Bitten or struck by dog,Male,Aged 80-84,18,Deaths,Annual,Persons,2019,0,adult
194,North East,W54 Bitten or struck by dog,Male,Aged 80-84,18,Deaths,Annual,Persons,2020,0,adult
195,North East,W54 Bitten or struck by dog,Male,Aged 80-84,18,Deaths,Annual,Persons,2021,0,adult
196,North East,W54 Bitten or struck by dog,Male,Aged 80-84,18,Deaths,Annual,Persons,2022,0,adult
197,North East,W54 Bitten or struck by dog,Male,Aged 80-84,18,Deaths,Annual,Persons,2023,0,adult
198,North East,W54 Bitten or struck by dog,Male,Aged 85-89,19,Deaths,Annual,Persons,2013,0,adult
199,North East,W54 Bitten or struck by dog,Male,Aged 85-89,19,Deaths,Annual,Persons,2014,0,adult
200,North East,W54 Bitten or struck by dog,Male,Aged 85-89,19,Deaths,Annual,Persons,2015,0,adult
201,North East,W54 Bitten or struck by dog,Male,Aged 85-89,19,Deaths,Annual,Persons,2016,0,adult
202,North East,W54 Bitten or struck by dog,Male,Aged 85-89,19,Deaths,Annual,Persons,2017,0,adult
203,North East,W54 Bitten or struck by dog,Male,Aged 85-89,19,Deaths,Annual,Persons,2018,0,adult
204,North East,W54 Bitten or struck by dog,Male,Aged 85-89,19,Deaths,Annual,Persons,2019,0,adult
205,North East,W54 Bitten or struck by dog,Male,Aged 85-89,19,Deaths,Annual,Persons,2020,0,adult
206,North East,W54 Bitten or struck by dog,Male,Aged 85-89,19,Deaths,Annual,Persons,2021,0,adult
207,North East,W54 Bitten or struck by dog,Male,Aged 85-89,19,Deaths,Annual,Persons,2022,0,adult
208,North East,W54 Bitten or struck by dog,Male,Aged 85-89,19,Deaths,Annual,Persons,2023,0,adult
209,North East,W54 Bitten or struck by dog,Male,Aged 90 and over,20,Deaths,Annual,Persons,2013,0,adult
210,North East,W54 Bitten or struck by dog,Male,Aged 90 and over,20,Deaths,Annual,Persons,2014,0,adult
211,North East,W54 Bitten or struck by dog,Male,Aged 90 and over,20,Deaths,Annual,Persons,2015,0,adult
212,North East,W54 Bitten or struck by dog,Male,Aged 90 and over,20,Deaths,Annual,Persons,2016,0,adult
213,North East,W54 Bitten or struck by dog,Male,Aged 90 and over,20,Deaths,Annual,Persons,2017,0,adult
214,North East,W54 Bitten or struck by dog,Male,Aged 90 and over,20,Deaths,Annual,Persons,2018,0,adult
215,North East,W54 Bitten or struck by dog,Male,Aged 90 and over,20,Deaths,Annual,Persons,2019,0,adult
216,North East,W54 Bitten or struck by dog,Male,Aged 90 and over,20,Deaths,Annual,Persons,2020,0,adult
217,North East,W54 Bitten or struck by dog,Male,Aged 90 and over,20,Deaths,Annual,Persons,2021,0,adult
218,North East,W54 Bitten or struck by dog,Male,Aged 90 and over,20,Deaths,Annual,Persons,2022,0,adult
219,North East,W54 Bitten or struck by dog,Male,Aged 90 and over,20,Deaths,Annual,Persons,2023,0,adult
220,North East,W54 Bitten or struck by dog,Female,Aged under 1,1,Deaths,Annual,Persons,2013,0,child
221,North East,W54 Bitten or struck by dog,Female,Aged under 1,1,Deaths,Annual,Persons,2014,0,child
222,North East,W54 Bitten or struck by dog,Female,Aged under 1,1,Deaths,Annual,Persons,2015,0,child
223,North East,W54 Bitten or struck by dog,Female,Aged under 1,1,Deaths,Annual,Persons,2016,0,child
224,North East,W54 Bitten or struck by dog,Female,Aged under 1,1,Deaths,Annual,Persons,2017,0,child
225,North East,W54 Bitten or struck by dog,Female,Aged under 1,1,Deaths,Annual,Persons,2018,0,child
226,North East,W54 Bitten or struck by dog,Female,Aged under 1,1,Deaths,Annual,Persons,2019,0,child
227,North East,W54 Bitten or struck by dog,Female,Aged under 1,1,Deaths,Annual,Persons,2020,0,child
228,North East,W54 Bitten or struck by dog,Female,Aged under 1,1,Deaths,Annual,Persons,2021,0,child
229,North East,W54 Bitten or struck by dog,Female,Aged under 1,1,Deaths,Annual,Persons,2022,0,child
230,North East,W54 Bitten or struck by dog,Female,Aged under 1,1,Deaths,Annual,Persons,2023,0,child
231,North East,W54 Bitten or struck by dog,Female,Aged 1 to 4,2,Deaths,Annual,Persons,2013,0,child
232,North East,W54 Bitten or struck by dog,Female,Aged 1 to 4,2,Deaths,Annual,Persons,2014,0,child
233,North East,W54 Bitten or struck by dog,Female,Aged 1 to 4,2,Deaths,Annual,Persons,2015,0,child
234,North East,W54 Bitten or struck by dog,Female,Aged 1 to 4,2,Deaths,Annual,Persons,2016,0,child
235,North East,W54 Bitten or struck by dog,Female,Aged 1 to 4,2,Deaths,Annual,Persons,2017,0,child
236,North East,W54 Bitten or struck by dog,Female,Aged 1 to 4,2,Deaths,Annual,Persons,2018,0,child
237,North East,W54 Bitten or struck by dog,Female,Aged 1 to 4,2,Deaths,Annual,Persons,2019,0,child
238,North East,W54 Bitten or struck by dog,Female,Aged 1 to 4,2,Deaths,Annual,Persons,2020,0,child
239,North East,W54 Bitten or struck by dog,Female,Aged 1 to 4,2,Deaths,Annual,Persons,2021,0,child
240,North East,W54 Bitten or struck by dog,Female,Aged 1 to 4,2,Deaths,Annual,Persons,2022,0,child
241,North East,W54 Bitten or struck by dog,Female,Aged 1 to 4,2,Deaths,Annual,Persons,2023,0,child
242,North East,W54 Bitten or struck by dog,Female,Aged 5 to 9,3,Deaths,Annual,Persons,2013,0,child
243,North East,W54 Bitten or struck by dog,Female,Aged 5 to 9,3,Deaths,Annual,Persons,2014,0,child
244,North East,W54 Bitten or struck by dog,Female,Aged 5 to 9,3,Deaths,Annual,Persons,2015,0,child
245,North East,W54 Bitten or struck by dog,Female,Aged 5 to 9,3,Deaths,Annual,Persons,2016,0,child
246,North East,W54 Bitten or struck by dog,Female,Aged 5 to 9,3,Deaths,Annual,Persons,2017,0,child
247,North East,W54 Bitten or struck by dog,Female,Aged 5 to 9,3,Deaths,Annual,Persons,2018,0,child
248,North East,W54 Bitten or struck by dog,Female,Aged 5 to 9,3,Deaths,Annual,Persons,2019,0,child
249,North East,W54 Bitten or struck by dog,Female,Aged 5 to 9,3,Deaths,Annual,Persons,2020,0,child
250,North East,W54 Bitten or struck by dog,Female,Aged 5 to 9,3,Deaths,Annual,Persons,2021,0,child
251,North East,W54 Bitten or struck by dog,Female,Aged 5 to 9,3,Deaths,Annual,Persons,2022,0,child
